pop_diffs_2025_2100,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
1084.5986815346917,40,20,0,5.0,5.0,0.0
838.835552990686,65,10,20,5.0,5.0,0.5
156.9884207468429,65,20,10,1.0,0.0,1.5
20.40419812998977,40,20,10,0.0,0.0,0.5
272.01322460826725,50,0,10,1.0,0.0,1.5
175.14037989819963,40,20,20,1.0,1.0,0.0
-8.526512829121202e-13,65,0,20,0.0,5.0,1.5
1518.4559808804845,50,0,0,5.0,0.0,0.5
254.96716438361813,65,0,0,1.0,0.0,1.5
181.7339653238465,40,0,20,0.0,1.0,1.5
173.4874546127548,65,10,20,1.0,1.0,0.5
102.98109206042255,40,10,20,0.0,1.0,1.5
1390.4673524209818,40,0,10,5.0,5.0,0.0
0.0,40,10,20,0.0,0.0,0.0
1518.0645746657158,50,0,0,5.0,1.0,0.0
1244.9746138897174,50,10,0,5.0,1.0,0.5
221.72032467191863,40,10,20,1.0,0.0,0.0
1326.3081479187874,50,0,10,5.0,5.0,1.5
102.98109206042255,40,10,20,0.0,0.0,1.5
1114.300885232364,40,20,0,5.0,1.0,0.5
181.7339653238465,40,0,20,0.0,0.0,1.5
254.96716438361813,65,0,0,1.0,1.0,1.5
1518.4559808804845,50,0,0,5.0,1.0,0.5
1228.7176057190002,65,0,0,5.0,1.0,0.0
272.01322460826725,50,0,10,1.0,1.0,1.5
0.0,40,20,20,0.0,1.0,0.0
1225.3444328343055,50,0,20,5.0,1.0,0.0
1228.717605718998,65,0,0,5.0,5.0,1.5
0.0,40,20,20,0.0,5.0,0.0
-8.526512829121202e-13,65,10,20,0.0,1.0,0.0
1228.7176057190002,65,0,0,5.0,5.0,0.0
0.0,65,20,20,0.0,5.0,0.5
232.4193114677724,50,10,10,1.0,0.0,0.5
0.244336158620456,50,0,20,0.0,5.0,0.5
224.9949588729177,40,20,20,1.0,5.0,1.5
1223.254960509092,40,10,10,5.0,0.0,0.5
220.28529493325829,65,0,10,1.0,0.0,0.5
450.7109722799238,40,10,0,1.0,0.0,1.5
1013.5761435503445,65,10,0,5.0,0.0,1.5
885.5393961316744,40,20,20,5.0,1.0,1.5
213.98149794624965,50,20,0,1.0,0.0,1.5
1244.7285838735845,50,10,0,5.0,1.0,0.0
0.0,40,10,10,0.0,0.47,0.0
1074.410381137869,65,0,10,5.0,5.0,0.5
885.5393961316744,40,20,20,5.0,0.0,1.5
-9.663381206337365e-13,65,20,0,0.0,0.0,0.0
1013.5761435503445,65,10,0,5.0,1.0,1.5
0.0,65,20,20,0.0,0.0,0.0
1518.0645746657158,50,0,0,5.0,5.0,0.0
42.50185644633393,40,10,10,0.0,0.0,0.54
1021.296021382037,50,10,20,5.0,0.0,0.0
220.28529493325829,65,0,10,1.0,1.0,0.5
1084.5986815346917,40,20,0,5.0,1.0,0.0
1485.9523664586127,40,10,0,5.0,5.0,1.5
173.4874546127548,65,10,20,1.0,1.0,0.0
-8.526512829121202e-13,65,0,10,0.0,0.0,0.0
175.14037989819963,40,20,20,1.0,5.0,0.0
-8.526512829121202e-13,50,0,20,0.0,5.0,0.0
835.6588700390162,40,20,20,5.0,5.0,0.0
1456.847883940732,40,0,10,5.0,5.0,0.5
-8.526512829121202e-13,65,0,0,0.0,5.0,0.0
1485.9523664586127,40,10,0,5.0,1.0,1.5
224.9949588729177,40,20,20,1.0,0.0,1.5
1223.2549605090906,40,10,10,5.0,5.0,0.5
805.2478753093848,50,20,20,5.0,0.0,1.5
224.656364185921,40,20,0,1.0,1.0,0.0
0.244336158620456,50,0,20,0.0,0.0,0.5
207.832763549954,65,10,0,1.0,1.0,1.5
1040.0366646619627,50,20,0,5.0,1.0,1.5
220.28529493325829,65,0,10,1.0,5.0,0.5
353.021995876467,40,0,10,1.0,1.0,0.5
286.8348334328721,40,0,10,1.0,1.0,0.0
313.08703202007206,50,0,0,1.0,5.0,0.0
-8.526512829121202e-13,50,20,20,0.0,1.0,0.0
284.3305099979921,40,10,10,1.0,1.0,0.5
1132.5564504601405,50,10,10,5.0,1.0,0.5
1680.7383578038764,40,0,0,5.0,1.0,0.5
1074.410381137869,65,0,10,5.0,1.0,0.5
213.98149794625004,50,20,0,1.0,5.0,1.5
636.7014776569404,40,10,10,2.5,2.5,0.6
1074.410381137869,65,0,10,5.0,0.0,0.5
167.66501978279746,50,20,20,1.0,5.0,1.5
853.941050647375,65,20,0,5.0,0.0,0.0
885.5393961316744,40,20,20,5.0,5.0,1.5
-8.526512829121202e-13,50,0,0,0.0,5.0,0.0
670.9030355756375,65,20,20,5.0,0.0,0.0
-8.526512829121202e-13,65,10,10,0.0,0.0,1.5
0.0,50,10,20,0.0,0.0,0.0
0.244336158620456,50,0,20,0.0,1.0,0.5
-8.526512829121202e-13,40,20,0,0.0,1.0,0.0
224.9949588729177,40,20,20,1.0,1.0,1.5
1485.9523664586127,40,10,0,5.0,0.0,1.5
1074.4103811378654,65,0,10,5.0,0.0,0.0
251.37095916455007,50,0,20,1.0,5.0,0.0
-8.526512829121202e-13,40,20,0,0.0,5.0,0.0
1228.7176057190002,65,0,0,5.0,1.0,1.5
254.3323191080288,40,20,0,1.0,1.0,0.5
838.835552990686,65,10,20,5.0,0.0,0.5
156.98842074684518,65,20,10,1.0,5.0,1.5
272.01322460826725,50,0,10,1.0,5.0,1.5
853.9410506473776,65,20,0,5.0,1.0,0.5
251.37095916455007,50,0,20,1.0,1.0,0.0
20.40419812998977,40,20,10,0.0,5.0,0.5
-8.526512829121202e-13,65,0,20,0.0,0.0,1.5
1518.4559808804845,50,0,0,5.0,5.0,0.5
254.96716438361813,65,0,0,1.0,1.0,0.0
254.96716438361813,65,0,0,1.0,5.0,1.5
0.0984697819284861,50,20,10,0.0,1.0,0.5
175.67068198336824,65,20,0,1.0,5.0,0.5
0.0,40,0,10,0.0,5.0,0.0
1326.3081479187874,50,0,10,5.0,1.0,1.5
135.31923733927215,40,10,10,0.5,0.5,0.5
1065.660474822269,40,10,20,5.0,0.0,0.0
313.47579095905246,50,0,0,1.0,1.0,0.5
-8.526512829121202e-13,50,0,0,0.0,1.0,0.0
313.47579095905246,50,0,0,1.0,0.0,0.5
313.08703202007206,50,0,0,1.0,1.0,0.0
102.98109206042255,40,10,20,0.0,5.0,1.5
1326.3081479187874,50,0,10,5.0,0.0,1.5
-8.526512829121202e-13,50,10,0,0.0,5.0,0.0
181.7339653238463,40,0,20,0.0,5.0,1.5
-8.526512829121202e-13,65,0,0,0.0,1.0,0.0
-8.526512829121202e-13,65,0,20,0.0,1.0,1.5
838.835552990686,65,10,20,5.0,5.0,0.0
0.5546563465460395,50,10,20,0.0,1.0,1.5
835.6588700390162,40,20,20,5.0,1.0,0.0
254.3323191080288,40,20,0,1.0,0.0,0.5
1228.7176057190002,65,0,0,5.0,0.0,1.5
224.656364185921,40,20,0,1.0,5.0,0.0
759.93254938626,65,20,10,5.0,1.0,0.0
1225.589065442469,50,0,20,5.0,1.0,0.5
1183.8295297121072,40,10,10,5.0,5.0,0.0
0.5472126919215725,50,20,0,0.0,0.0,1.5
-9.663381206337365e-13,40,0,20,0.0,0.0,0.0
1013.5761435503445,65,10,0,5.0,5.0,0.0
181.48228610068185,40,10,0,0.0,0.0,1.5
670.9030355756363,65,20,20,5.0,1.0,0.5
251.6153627834184,50,0,20,1.0,5.0,0.5
0.1849466109444506,50,10,10,0.0,0.0,0.5
49.84532596296458,40,20,20,0.0,5.0,1.5
-8.526512829121202e-13,65,0,10,0.0,0.0,0.5
996.915568728402,65,0,20,5.0,1.0,0.0
139.7005981190499,65,20,20,1.0,5.0,0.5
925.945569201716,65,10,10,5.0,1.0,1.5
-8.526512829121202e-13,65,0,10,0.0,1.0,0.5
-8.526512829121202e-13,65,10,0,0.0,5.0,1.5
670.9030355756363,65,20,20,5.0,0.0,0.5
190.37035183192216,65,10,10,1.0,5.0,1.5
181.48228610068185,40,10,0,0.0,1.0,1.5
66.12461130469882,40,0,10,0.0,5.0,0.5
265.7363895864541,40,0,20,1.0,0.0,0.0
589.4288754222405,40,10,10,2.5,0.0,0.0
1225.589065442469,50,0,20,5.0,0.0,0.5
324.74059974280965,40,10,20,1.0,1.0,1.5
996.915568728402,65,0,20,5.0,1.0,1.5
0.0,50,20,0,0.0,0.0,0.0
-8.526512829121202e-13,65,0,0,0.0,0.0,1.5
447.6104260813993,40,0,20,1.0,1.0,1.5
-8.526512829121202e-13,65,10,20,0.0,1.0,0.5
119.57416540782008,40,10,10,0.5,0.0,0.0
1168.7934561530226,40,10,20,5.0,5.0,1.5
-8.526512829121202e-13,40,0,0,0.0,0.0,0.0
1.1866835204405677,50,0,10,0.0,0.0,1.5
269.10084023011433,40,10,0,1.0,0.0,0.0
205.1746415948008,65,0,20,1.0,5.0,1.5
1466.027760537931,40,0,20,5.0,5.0,1.5
-8.526512829121202e-13,65,20,10,0.0,0.0,1.5
-8.526512829121202e-13,50,0,10,0.0,0.0,0.0
29.66665619330462,40,20,0,0.0,5.0,0.5
270.82592666469463,50,0,10,1.0,0.0,0.0
-8.526512829121202e-13,65,20,10,0.0,1.0,1.5
996.915568728402,65,0,20,5.0,5.0,0.0
-8.526512829121202e-13,40,10,0,0.0,0.0,0.0
1.1866835204405677,50,0,10,0.0,1.0,1.5
447.61042608140224,40,0,20,1.0,0.0,1.5
-8.526512829121202e-13,65,0,0,0.0,1.0,1.5
996.915568728402,65,0,20,5.0,0.0,1.5
0.3879547123133307,50,0,0,0.0,5.0,0.5
1021.8510359933116,50,10,20,5.0,0.0,1.5
324.74059974280965,40,10,20,1.0,0.0,1.5
189.61756836980408,50,20,10,1.0,1.0,0.5
207.832763549954,65,10,0,1.0,1.0,0.0
0.3879547123133307,50,0,0,0.0,1.0,0.5
23.472761230444178,40,10,10,0.1,0.6,0.0
-8.526512829121202e-13,65,0,0,0.0,5.0,1.5
156.98842074684518,65,20,10,1.0,5.0,0.0
244.9585338457175,40,10,10,1.0,1.0,0.0
1.1866835204405677,50,0,10,0.0,5.0,1.5
1168.7934561530226,40,10,20,5.0,0.0,1.5
18.277952217267057,65,5,5,0.09,0.08,0.0
1593.6643495169103,40,0,0,5.0,0.0,0.0
205.1746415948008,65,0,20,1.0,0.0,1.5
1466.027760537931,40,0,20,5.0,0.0,1.5
1325.1188413232076,50,0,10,5.0,0.0,0.0
29.66665619330462,40,20,0,0.0,1.0,0.5
